               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.056168,            0.016429,           0.0049697,             0.78395,             0.96218,             0.83009,             0.32365,            0.050254,            0.014258,           0.0034347,           0.0094109,           0.0094109,           0.0094109
                 121,            0.049749,            0.015477,           0.0050297,             0.73814,             0.93404,             0.81903,             0.43604,             0.04089,            0.013817,           0.0035812,            0.009406,            0.009406,            0.009406
                 122,            0.044631,            0.017795,           0.0052178,             0.86285,             0.86094,             0.93525,             0.39287,            0.042475,            0.013624,           0.0035948,            0.009401,            0.009401,            0.009401
                 123,            0.042573,             0.01665,           0.0048184,              0.7312,             0.76053,             0.82196,              0.2537,            0.043538,             0.01392,           0.0035339,           0.0093961,           0.0093961,           0.0093961
                 124,            0.047294,            0.016246,            0.005051,              0.7312,             0.76053,             0.82196,              0.2537,            0.043538,             0.01392,           0.0035339,           0.0093912,           0.0093912,           0.0093912
                 125,            0.045885,              0.0158,           0.0049967,             0.82396,             0.71455,             0.86136,             0.41367,             0.04462,            0.013532,           0.0035918,           0.0093862,           0.0093862,           0.0093862
                 126,            0.042763,            0.016545,           0.0049212,             0.74816,             0.98004,             0.91264,             0.56768,            0.034813,            0.013532,           0.0034836,           0.0093813,           0.0093813,           0.0093813
                 127,            0.040257,            0.017081,           0.0047615,             0.85499,             0.94099,             0.91866,             0.50963,            0.048281,            0.013215,           0.0033307,           0.0093763,           0.0093763,           0.0093763
                 128,             0.05171,            0.014959,           0.0046262,             0.85499,             0.94099,             0.91866,             0.50963,            0.048281,            0.013215,           0.0033307,           0.0093714,           0.0093714,           0.0093714
                 129,            0.044579,            0.016021,           0.0041846,             0.92486,             0.98837,             0.97051,             0.54555,            0.043849,            0.013053,           0.0032388,           0.0093664,           0.0093664,           0.0093664
                 130,             0.04007,            0.015704,           0.0043107,             0.88847,              0.9961,             0.98142,             0.55895,            0.037814,            0.013213,            0.003063,           0.0093615,           0.0093615,           0.0093615
                 131,            0.039201,            0.014894,            0.004081,             0.92944,             0.80963,             0.91283,             0.27419,             0.04762,            0.013496,           0.0028782,           0.0093565,           0.0093565,           0.0093565
                 132,            0.051368,              0.0146,           0.0048969,             0.92944,             0.80963,             0.91283,             0.27419,             0.04762,            0.013496,           0.0028782,           0.0093516,           0.0093516,           0.0093516
                 133,            0.046412,            0.014931,           0.0039324,             0.87729,              0.9041,              0.9573,             0.38065,            0.044745,            0.012976,           0.0028677,           0.0093466,           0.0093466,           0.0093466
                 134,            0.046853,            0.014709,           0.0049102,             0.83256,             0.95994,              0.8999,              0.4563,            0.036556,            0.013224,           0.0030451,           0.0093416,           0.0093416,           0.0093416
                 135,            0.043563,            0.016322,           0.0041204,             0.85198,             0.96543,             0.95535,             0.33065,            0.043779,            0.013057,            0.003079,           0.0093367,           0.0093367,           0.0093367
                 136,            0.051362,            0.017377,           0.0047073,             0.85198,             0.96543,             0.95535,             0.33065,            0.043779,            0.013057,            0.003079,           0.0093317,           0.0093317,           0.0093317
                 137,            0.050244,            0.014915,           0.0042188,             0.76181,             0.98324,             0.92022,             0.38772,            0.043949,            0.012924,           0.0031416,           0.0093268,           0.0093268,           0.0093268
                 138,            0.044969,            0.016891,           0.0045421,             0.78834,             0.99419,             0.87645,             0.47501,            0.037924,            0.012907,            0.003002,           0.0093219,           0.0093219,           0.0093219
                 139,            0.041446,            0.016894,           0.0041263,             0.75123,             0.94341,             0.88313,             0.50507,            0.040084,            0.013083,           0.0029356,           0.0093169,           0.0093169,           0.0093169
                 140,            0.042726,            0.015511,           0.0036282,             0.75123,             0.94341,             0.88313,             0.50507,            0.040084,            0.013083,           0.0029356,           0.0093119,           0.0093119,           0.0093119
                 141,            0.041677,            0.016666,            0.004475,             0.93569,             0.97095,             0.98502,             0.56798,             0.04015,            0.012744,           0.0029432,            0.009307,            0.009307,            0.009307
                 142,            0.039816,            0.014882,           0.0038521,             0.86549,             0.97671,             0.95147,             0.48862,            0.042911,             0.01282,           0.0031556,            0.009302,            0.009302,            0.009302
                 143,              0.0442,            0.014663,           0.0042433,             0.60843,             0.83656,             0.74789,             0.22994,             0.04502,            0.013333,           0.0031066,           0.0092971,           0.0092971,           0.0092971
                 144,            0.050468,            0.014385,           0.0045616,             0.60843,             0.83656,             0.74789,             0.22994,             0.04502,            0.013333,           0.0031066,           0.0092922,           0.0092922,           0.0092922
                 145,            0.044162,            0.015904,           0.0041866,             0.71454,              0.9839,             0.81229,             0.34556,            0.038086,            0.013069,           0.0032055,           0.0092872,           0.0092872,           0.0092872
